Date,Pulaski Light
7/1/09,28.891
8/1/09,30.52
9/1/09,30.824
10/1/09,30.142
11/1/09,28.543
12/1/09,25.671
1/1/10,23.4
2/1/10,22.058
3/1/10,20.579
4/1/10,21.581
5/1/10,24.46
6/1/10,27.801
7/1/10,29.315
8/1/10,30.205
9/1/10,30.306
10/1/10,29.178
11/1/10,27.419
12/1/10,25.331
1/1/11,20.698
2/1/11,19.936
3/1/11,20.96
4/1/11,24.847
5/1/11,27.505
6/1/11,28.221
7/1/11,28.717
8/1/11,30.167
9/1/11,29.941
10/1/11,29.79
11/1/11,26.329
12/1/11,24.171
1/1/12,23.761
2/1/12,23.593
3/1/12,24.267
4/1/12,24.847
5/1/12,25.162
6/1/12,28.11
7/1/12,27.999
8/1/12,29.941
9/1/12,28.73
10/1/12,28.444
11/1/12,25.525
12/1/12,24.159
1/1/13,23.701
2/1/13,23.16
3/1/13,23.749
4/1/13,21.402
5/1/13,25.368
6/1/13,26.977
7/1/13,28.692
8/1/13,29.615
9/1/13,29.941
10/1/13,29.552
11/1/13,27.419
12/1/13,25.441
1/1/14,25.064
2/1/14,22.501
3/1/14,24.388
4/1/14,23.497
5/1/14,26.183
6/1/14,27.075
7/1/14,29.178
8/1/14,30.938
9/1/14,30.281
10/1/14,29.703
11/1/14,27.186
12/1/14,23.4
1/1/15,23.304
2/1/15,21.831
3/1/15,21.664
4/1/15,24.569
5/1/15,27.493
6/1/15,28.816
7/1/15,30.079
8/1/15,30.445
9/1/15,29.929
10/1/15,29.578
11/1/15,27.825
12/1/15,25.659
1/1/16,26.073
2/1/16,23.376
3/1/16,22.405
4/1/16,25.077
5/1/16,24.605
6/1/16,28.0845
7/1/16,29.8525
8/1/16,29.903
9/1/16,29.1025
10/1/16,30.041
11/1/16,26.524
12/1/16,24.75
1/1/17,24.195
2/1/17,21.318
3/1/17,22.633
4/1/17,23.833
5/1/17,26.061
6/1/17,27.986
7/1/17,29.427
8/1/17,30.142
9/1/17,30.381
10/1/17,29.653
11/1/17,26.683
12/1/17,26.037
1/1/18,24.4
2/1/18,20.258
3/1/18,24.811
4/1/18,24.279
5/1/18,24.944
6/1/18,26.463
7/1/18,28.99
8/1/18,30.218
9/1/18,29.414
10/1/18,29.54
11/1/18,27.235
12/1/18,24.532
1/1/19,24.291
2/1/19,21.939
3/1/19,25.756
4/1/19,24.484
5/1/19,25.793
6/1/19,28.233
7/1/19,30.824
8/1/19,30.558
9/1/19,30.482
10/1/19,28.904
11/1/19,28.854
12/1/19,25.696
1/1/20,24.69
2/1/20,22.226
3/1/20,21.593
4/1/20,25.38
5/1/20,26.941
6/1/20,28.605
7/1/20,29.728
8/1/20,29.828
9/1/20,30.989
10/1/20,30.369
11/1/20,28.568